,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
223,223,Cheng Zhang,Male,Fred Hutchinson Cancer Research Center,Erick Matsen IV,Male,Fred Hutchinson Cancer Research Center,Generalizing Tree Probability Estimation via Bayesian Networks.
224,224,Shuang Li,Male,Georgia Institute of Technology,Le Song,Male,Ant Financial & Georgia Institute of Technology,Learning Temporal Point Processes via Reinforcement Learning.
225,225,Qing Wang,Male,Tencent AI Lab,Tong Zhang,Male,Tencent AI Lab,Exponentially Weighted Imitation Learning for Batched Historical Data.
226,226,Murat Sensoy,Male,Ozyegin University,Melih Kandemir,Male,Bosch Center for Artificial Intelligence (BCAI),Evidential Deep Learning to Quantify Classification Uncertainty.
227,227,Amit Dhurandhar,Male,IBM Research,Payel Das,Male,IBM Research,Explanations based on the Missing: Towards Contrastive Explanations with Pertinent Negatives.
228,228,Gregory Plumb,Male,CMU,Ameet Talwalkar,Male,CMU,Model Agnostic Supervised Local Explanations.
229,229,Heinrich Jiang,Male,Google Research,Maya Gupta,Male,Google,To Trust Or Not To Trust A Classifier.
230,230,Samuel Yeom,Male,Carnegie Mellon University,Matt Fredrikson,Male,CMU,Hunting for Discriminatory Proxies in Linear Regression Models.
231,231,Michele Donini,Male,Istituto Italiano di Tecnologia ,Massimiliano Pontil,Male,IIT,Empirical Risk Minimization Under Fairness Constraints.
232,232,David Harris,Male,University of Maryland,Thomas Pensyl,Male,,Approximation algorithms for stochastic clustering.
233,233,David Balduzzi,Male,DeepMind,Thore Graepel,Male,DeepMind,Re-evaluating evaluation.
234,234,Zachary Lipton,Male,Carnegie Mellon University,Alexandra Chouldechova,Male,CMU,Does mitigating ML's impact disparity require treatment disparity?.
235,235,Isabel Valera,Female,Max Planck Institute for Intelligent Systems,Manuel Gomez Rodriguez,Male,Max Planck Institute for Software Systems,Enhancing the Accuracy and Fairness of Human Decision Making.
236,236,Samira Samadi,Female,Georgia Tech,Santosh Vempala,Male,Georgia Tech,The Price of Fair PCA: One Extra dimension.
237,237,Ankush Mandal,Male,Georgia Institute of Technology,Vivek Sarkar,Male,Georgia Institute of Technology,Topkapi: Parallel and Fast Sketches for Finding Top-K Frequent Elements.
238,238,Xiaojie Wang,Male,The University of Melbourne,Jianzhong Qi,Male,The University of Melbourne,KDGAN: Knowledge Distillation with Generative Adversarial Networks.
239,239,Menghan Wang,Female,Zhejiang University,Kun Zhang,Male,CMU,Modeling Dynamic Missingness of Implicit Feedback for Recommendation.
240,240,Trong Dinh Thac Do,Male,University of Technology Sydney,Longbing Cao,Male,University of Technology Sydney,Gamma-Poisson Dynamic Matrix Factorization Embedded with Metadata Influence.
241,241,Stanislav Morozov,Male,Yandex,Artem Babenko,Male,MIPT/Yandex,Non-metric Similarity Graphs for Maximum Inner Product Search.
242,242,Xiao Yan,Male,The Chinese University of Hong Kong,James Cheng,Male,The Chinese University of Hong Kong,Norm-Ranging LSH for Maximum Inner Product Search.
243,243,Madhav Nimishakavi,Male,Indian Institute of Science,Bamdev Mishra,Male,Microsoft,A Dual Framework for Low-rank Tensor Completion.
244,244,Osman Malik,Male,University of Colorado Boulder,Stephen Becker,Male,University of Colorado,Low-Rank Tucker Decomposition of Large Tensors Using TensorSketch.
245,245,Zhihui Zhu,Male,Johns Hopkins University,Qiuwei Li,Male,Colorado School of Mines,Dropping Symmetry for Fast Symmetric Nonnegative Matrix Factorization.
246,246,Borja Balle,Male,Amazon Research Cambridge,Marco Gaboardi,Male,Univeristy at Buffalo,Privacy Amplification by Subsampling: Tight Analyses via Couplings and Divergences.
247,247,Jayadev Acharya,Male,Cornell University,Huanyu Zhang,Male,Cornell University,Differentially Private Testing of Identity and Closeness of Discrete Distributions.
248,248,Uri Stemmer,Male,Ben-Gurion University,Haim Kaplan,Male,,Differentially Private k-Means with Constant Multiplicative Error.
249,249,Matthew  Joseph,Male,University of Pennsylvania,Bo Waggoner,Male,Microsoft,Local Differential Privacy for Evolving Data.
250,250,Bargav Jayaraman,Male,University of Virginia,Quanquan Gu,Male,UCLA,Distributed Learning without Distress: Privacy-Preserving Empirical Risk Minimization.
251,251,Shivam Garg,Male,Stanford University,Gregory Valiant,Male,Stanford University,A Spectral View of Adversarially Robust Features.
252,252,Shiqi Wang,Male,Columbia University,Suman Jana,Male,Columbia University,Efficient Formal Safety Analysis of Neural Networks.
253,253,Jamie Hayes,Male,University College London,Olga Ohrimenko,Female,Microsoft Research,Contamination Attacks and Mitigation in Multi-Party Machine Learning.
254,254,Wenbo Guo,Male,Pennsylvania State University,Lin Lin,Male,The Pennsylvania State University,Explaining Deep Learning Models -- A Bayesian Non-parametric Approach.
255,255,Maria-Florina Balcan,Male,Carnegie Mellon University,Colin White,Male,Carnegie Mellon University,Data-Driven Clustering via Parameterized Lloyd's Families.
256,256,Sagie Benaim,Male,Tel Aviv University,Lior Wolf,Male,Facebook AI Research,One-Shot Unsupervised Cross Domain Translation.
257,257,Nathan Kallus,Male,Cornell University,Nathan Kallus,Male,Cornell University,Balanced Policy Evaluation and Learning.
258,258,Zelda Mariet,Female,MIT,Stefanie Jegelka,Female,MIT,Exponentiated Strongly Rayleigh Distributions.
259,259,Qiang Liu,Male,UT Austin,Dilin Wang,Male,UT Austin,Stein Variational Gradient Descent as Moment Matching.
260,260,Anthony L Caterini,Male,University of Oxford,Dino Sejdinovic,Male,University of Oxford,Hamiltonian Variational Auto-Encoder.
261,261,Yingxiang Yang,Male,University of Illinois at Urbana Champaign,Niao He,Male,UIUC,Predictive Approximate Bayesian Computation via Saddle Points.
262,262,Sebastian Stich,Male,EPFL,Martin Jaggi,Male,EPFL,Sparsified SGD with Memory.
263,263,Filip Hanzely,Male,KAUST,Peter Richtarik,Male,KAUST,SEGA: Variance Reduction via Gradient Sketching.
264,264,Eric Balkanski,Male,Harvard University,Yaron Singer,Male,Harvard University,Non-monotone Submodular Maximization in Exponentially Fewer Iterations.
265,265,Conghui Tan,Male,The Chinese University of Hong Kong,Prof. Ji Liu Liu,Male,"University of Rochester, Tencent AI lab",Stochastic Primal-Dual Method for Empirical Risk Minimization with O(1) Per-Iteration Complexity.
266,266,Hiroyuki Kasai,Male,The University of Electro-Communications,Bamdev Mishra,Male,Microsoft,Inexact trust-region algorithms on Riemannian manifolds.
267,267,Tao Sun,Male,National university of defense technology,Wotao Yin,Male,"University of California, Los Angeles",On Markov Chain Gradient Descent.
268,268,Zhiqiang Xu,Male,Baidu Inc.,Zhiqiang Xu,Male,Baidu Inc.,Gradient Descent Meets Shift-and-Invert Preconditioning for Eigenvector Computation.
269,269,Murat Erdogdu,Male,University of Toronto,Ohad Shamir,Male,Weizmann Institute of Science,Global Non-convex Optimization with Discretized Diffusions.
270,270,Cedric Josz,Male,UC Berkeley,Somayeh Sojoudi,Male,"University of California, Berkeley",A theory on the absence of spurious solutions for nonconvex and nonsmooth optimization.
