,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
6224,2012,Meghyn Bienvenu,Meghyn Bienvenu,AAAI,On the Complexity of Consistent Query Answering in the Presence of Simple Ontologies.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4928,https://dblp.org/rec/conf/aaai/Bienvenu12
6225,2012,Yonatan Bisk,Julia Hockenmaier,AAAI,Simple Robust Grammar Induction with Combinatory Categorial Grammars.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5130,https://dblp.org/rec/conf/aaai/BiskH12
6226,2012,Benjamin Bittner,Xavier Olive,AAAI,Symbolic Synthesis of Observability Requirements for Diagnosability.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5056,https://dblp.org/rec/conf/aaai/BittnerBCO12
6227,2012,James C. Boerkoel Jr.,Edmund H. Durfee,AAAI,A Distributed Approach to Summarizing Spaces of Multiagent Schedules.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5127,https://dblp.org/rec/conf/aaai/BoerkoelD12
6228,2012,Blai Bonet,Hector Geffner,AAAI,Action Selection for MDPs - Anytime AO* Versus UCT.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5136,https://dblp.org/rec/conf/aaai/BonetG12
6229,2012,Blai Bonet,Hector Geffner,AAAI,Width and Complexity of Belief Tracking in Non-Deterministic Conformant and Contingent Planning.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5022,https://dblp.org/rec/conf/aaai/BonetG12a
6230,2012,Guido Bonomi,Marcello Restelli,AAAI,Computing Equilibria with Two-Player Zero-Sum Continuous Stochastic Games with Switching Controller.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4899,https://dblp.org/rec/conf/aaai/BonomiGPR12
6231,2012,Ali Borji,Laurent Itti,AAAI,An Object-Based Bayesian Framework for Top-Down Visual Attention.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5016,https://dblp.org/rec/conf/aaai/BorjiSI12
6232,2012,Craig Boutilier,Ariel D. Procaccia,AAAI,A Dynamic Rationalization of Distance Rationalizability.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4930,https://dblp.org/rec/conf/aaai/BoutilierP12
6233,2012,Ronen I. Brafman,Guy Shani,AAAI,A Multi-Path Compilation Approach to Contingent Planning.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4871,https://dblp.org/rec/conf/aaai/BrafmanS12
6234,2012,Steven J. Brams,Ariel D. Procaccia,AAAI,On Maxsum Fair Cake Divisions.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4876,https://dblp.org/rec/conf/aaai/BramsFLMP12
6235,2012,Robert Bredereck,Stefan Kratsch,AAAI,A Multivariate Complexity Analysis of Lobbying in Multiple Referenda.,6,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5006,https://dblp.org/rec/conf/aaai/BredereckCHNSK12
6236,2012,Markus Brill,Felix A. Fischer,AAAI,The Price of Neutrality for the Ranked Pairs Method.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5018,https://dblp.org/rec/conf/aaai/BrillF12
6237,2012,Guy Van den Broeck,Jesse Davis,AAAI,Conditioning in First-Order Knowledge Compilation and Lifted Probabilistic Inference.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5132,https://dblp.org/rec/conf/aaai/BroeckD12
6238,2012,Tim Brys,Ann Nowé,AAAI,Improving Convergence of CMA-ES Through Structure-Driven Discrete Recombination.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4770,https://dblp.org/rec/conf/aaai/BrysN12
6239,2012,Jennifer Elisabeth Buehler,Jennifer Elisabeth Buehler,AAAI,Capabilities in Heterogeneous Multi-Robot Systems.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4791,https://dblp.org/rec/conf/aaai/Buehler12
6240,2012,Hung B. Bui,Rodrigo de Salvo Braz,AAAI,Exact Lifted Inference with Distinct Soft Evidence on Every Object.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5119,https://dblp.org/rec/conf/aaai/BuiHB12
6241,2012,Ethan Andrew Burns,Ethan Andrew Burns,AAAI,Planning Under Time Pressure.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4868,https://dblp.org/rec/conf/aaai/Burns12
6242,2012,Shaowei Cai,Kaile Su,AAAI,Configuration Checking with Aspiration in Local Search for SAT.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4966,https://dblp.org/rec/conf/aaai/CaiS12
6243,2012,Shaowei Cai,Abdul Sattar 0001,AAAI,Two New Local Search Strategies for Minimum Vertex Cover.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4796,https://dblp.org/rec/conf/aaai/CaiSS12
6244,2012,Maya Cakmak,Manuel Lopes 0001,AAAI,Algorithmic and Human Teaching of Sequential Decision Tasks.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4954,https://dblp.org/rec/conf/aaai/CakmakL12
6245,2012,Erik Cambria,Kenneth Kwok,AAAI,Sentic Activation - A Two-Level Affective Common Sense Reasoning Framework.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4989,https://dblp.org/rec/conf/aaai/CambriaOK12
6246,2012,Cornelia Caragea,Prasenjit Mitra,AAAI,Combining Hashing and Abstraction in Sparse High Dimensional Feature Spaces.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5087,https://dblp.org/rec/conf/aaai/CarageaSM12
6247,2012,Ruggiero Cavallo,Ruggiero Cavallo,AAAI,Fairness and Welfare Through Redistribution When Utility Is Transferable.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5115,https://dblp.org/rec/conf/aaai/Cavallo12
