,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
568,2015,Carlos Ansótegui,Kevin Tierney,IJCAI,Model-Based Genetic Algorithms for Algorithm Configuration.,5,http://ijcai.org/Abstract/15/109,https://dblp.org/rec/conf/ijcai/AnsoteguiMSST15
569,2015,Ognjen Arandjelovic,Svetha Venkatesh,IJCAI,Groupwise Registration of Aerial Images.,3,http://ijcai.org/Abstract/15/302,https://dblp.org/rec/conf/ijcai/ArandjelovicPV15
570,2015,Marcelo Arenas,Jorge Pérez 0001,IJCAI,Bidirectional Constraints for Exchanging Data - Beyond Monotone Queries.,3,http://ijcai.org/Abstract/15/382,https://dblp.org/rec/conf/ijcai/ArenasD015
571,2015,Alessandro Artale,Michael Zakharyaschev,IJCAI,First-Order Rewritability of Temporal Ontology-Mediated Queries.,6,http://ijcai.org/Abstract/15/383,https://dblp.org/rec/conf/ijcai/ArtaleKKRWZ15
572,2015,Andreas Arzt,Gerhard Widmer,IJCAI,Artificial Intelligence in the Concertgebouw.,6,http://ijcai.org/Abstract/15/343,https://dblp.org/rec/conf/ijcai/ArztFGGGW15
573,2015,Azin Ashkan,Zheng Wen,IJCAI,Optimal Greedy Diversity for Recommendation.,4,http://ijcai.org/Abstract/15/248,https://dblp.org/rec/conf/ijcai/AshkanKBW15
574,2015,Filipe Assunção,Penousal Machado,IJCAI,Evolving Families of Shapes.,4,http://ijcai.org/Abstract/15/580,https://dblp.org/rec/conf/ijcai/AssuncaoCMM15
575,2015,Guillaume Aucher,Vaishak Belle,IJCAI,Multi-Agent Only Knowing on Planet Kripke.,2,http://ijcai.org/Abstract/15/384,https://dblp.org/rec/conf/ijcai/AucherB15
576,2015,Julien Audiffren,Mohammad Ghavamzadeh,IJCAI,Maximum Entropy Semi-Supervised Inverse Reinforcement Learning.,4,http://ijcai.org/Abstract/15/467,https://dblp.org/rec/conf/ijcai/AudiffrenVLG15
577,2015,Frederik Auffenberg,Alex Rogers,IJCAI,A Personalised Thermal Comfort Model Using a Bayesian Network.,3,http://ijcai.org/Abstract/15/361,https://dblp.org/rec/conf/ijcai/AuffenbergSR15
578,2015,Haris Aziz 0001,Søren Kristoffer Stiil Frederiksen,IJCAI,The Adjusted Winner Procedure - Characterizations and Equilibria.,4,http://ijcai.org/Abstract/15/070,https://dblp.org/rec/conf/ijcai/AzizBFF15
579,2015,Haris Aziz 0001,Hanjo Täubig,IJCAI,Welfare Maximization in Fractional Hedonic Games.,5,http://ijcai.org/Abstract/15/071,https://dblp.org/rec/conf/ijcai/AzizGGMT15
580,2015,Haris Aziz 0001,Toby Walsh,IJCAI,Equilibria Under the Probabilistic Serial Rule.,6,http://ijcai.org/Abstract/15/160,https://dblp.org/rec/conf/ijcai/AzizGMMNW15
581,2015,Haris Aziz 0001,Lirong Xia,IJCAI,Possible and Necessary Allocations via Sequential Mechanisms.,3,http://ijcai.org/Abstract/15/072,https://dblp.org/rec/conf/ijcai/AzizWX15
582,2015,Tim Baarslag,Enrico H. Gerding,IJCAI,Optimal Incremental Preference Elicitation during Negotiation.,2,http://ijcai.org/Abstract/15/008,https://dblp.org/rec/conf/ijcai/BaarslagG15
583,2015,Jean-François Baget,Swan Rocher,IJCAI,Combining Existential Rules and Transitivity - Next Steps.,4,http://ijcai.org/Abstract/15/385,https://dblp.org/rec/conf/ijcai/BagetBMR15
584,2015,Lu Bai 0001,Edwin R. Hancock,IJCAI,A Graph Kernel Based on the Jensen-Shannon Representation Alignment.,5,http://ijcai.org/Abstract/15/468,https://dblp.org/rec/conf/ijcai/BaiZW0H15
585,2015,Josef Bajada,Derek Long,IJCAI,Temporal Planning with Semantic Attachment of Non-Linear Monotonic Continuous Behaviours.,3,http://ijcai.org/Abstract/15/218,https://dblp.org/rec/conf/ijcai/BajadaFL15
586,2015,Amine Balafrej,Anastasia Paparrizou,IJCAI,Multi-Armed Bandits for Adaptive Constraint Propagation.,3,http://ijcai.org/Abstract/15/047,https://dblp.org/rec/conf/ijcai/BalafrejBP15
587,2015,Maria-Florina Balcan,Yair Zick,IJCAI,Learning Cooperative Games.,3,http://ijcai.org/Abstract/15/073,https://dblp.org/rec/conf/ijcai/BalcanPZ15
588,2015,Matteo Baldoni,Munindar P. Singh,IJCAI,Composing and Verifying Commitment-Based Multiagent Protocols.,4,http://ijcai.org/Abstract/15/009,https://dblp.org/rec/conf/ijcai/BaldoniBCS15
589,2015,Matteo Baldoni,Viviana Patti,IJCAI,Constitutive and Regulative Specifications of Commitment Protocols - A Decoupled Approach (Extended Abstract).,4,http://ijcai.org/Abstract/15/584,https://dblp.org/rec/conf/ijcai/BaldoniBMP15
590,2015,Sambaran Bandyopadhyay,Zainul Charbiwala,IJCAI,Aggregate Demand-Based Real-Time Pricing Mechanism for the Smart Grid - A Game-Theoretic Analysis.,5,http://ijcai.org/Abstract/15/362,https://dblp.org/rec/conf/ijcai/BandyopadhyayNK15
591,2015,Siddhartha Banerjee,Kazunari Sugiyama,IJCAI,Multi-Document Abstractive Summarization Using ILP Based Multi-Sentence Compression.,3,http://ijcai.org/Abstract/15/174,https://dblp.org/rec/conf/ijcai/BanerjeeMS15
592,2015,Francesco Barbieri,Horacio Saggion,IJCAI,Do We Criticise (and Laugh) in the Same Way? Automatic Detection of Multi-Lingual Satirical News in Twitter.,3,http://ijcai.org/Abstract/15/175,https://dblp.org/rec/conf/ijcai/BarbieriRS15
593,2015,Pietro Baroni,Beishui Liao,IJCAI,Dealing with Generic Contrariness in Structured Argumentation.,3,http://ijcai.org/Abstract/15/386,https://dblp.org/rec/conf/ijcai/BaroniGL15
594,2015,André da Motta Salles Barreto,Doina Precup,IJCAI,An Expectation-Maximization Algorithm to Compute a Stochastic Factorization From Data.,4,http://ijcai.org/Abstract/15/469,https://dblp.org/rec/conf/ijcai/BarretoBPP15
595,2015,Ringo Baumann,Gerhard Brewka,IJCAI,AGM Meets Abstract Argumentation - Expansion and Revision for Dung Frameworks.,2,http://ijcai.org/Abstract/15/387,https://dblp.org/rec/conf/ijcai/BaumannB15
596,2015,Harald Beck,Harald Beck,IJCAI,Expressive Rule-Based Stream Reasoning.,1,http://ijcai.org/Abstract/15/618,https://dblp.org/rec/conf/ijcai/Beck15
597,2015,Harald Beck,Thomas Eiter,IJCAI,Answer Update for Rule-Based Stream Reasoning.,3,http://ijcai.org/Abstract/15/388,https://dblp.org/rec/conf/ijcai/BeckDE15
598,2015,Gregor Behnke,Susanne Biundo,IJCAI,Coherence Across Components in Cognitive Systems - One Ontology to Rule Them All.,7,http://ijcai.org/Abstract/15/207,https://dblp.org/rec/conf/ijcai/BehnkePSBNGB15
599,2015,Francesco Belardinelli,Alessio Lomuscio,IJCAI,Finite Abstractions for the Verification of Epistemic Properties in Open Multi-Agent Systems.,3,http://ijcai.org/Abstract/15/125,https://dblp.org/rec/conf/ijcai/BelardinelliGL15
600,2015,Francesco Belardinelli,Nicolas Maudet,IJCAI,Formal Analysis of Dialogues on Infinite Argumentation Frameworks.,3,http://ijcai.org/Abstract/15/126,https://dblp.org/rec/conf/ijcai/BelardinelliGM15
