,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
250,2011,Ardavan Saeedi,nan,Alexandre Bouchard-Côté,"University of British Columbia, Department of Statistics",NIPS,Priors over Recurrent Continuous Time Processes.,2,https://proceedings.neurips.cc/paper/2011/hash/043ab21fc5a1607b381ac3896176dac6-Abstract.html,https://dblp.org/rec/conf/nips/SaeediB11
251,2011,Ruslan Salakhutdinov,"Carnegie Mellon University, Machine Learning Department, Pittsburgh, PA, USA",Antonio Torralba 0001,"Institut National Polytechnique de Grenoble, France",NIPS,Learning to Learn with Compound HD Models.,3,https://proceedings.neurips.cc/paper/2011/hash/6e7d2da6d3953058db75714ac400b584-Abstract.html,https://dblp.org/rec/conf/nips/SalakhutdinovTT11
252,2011,Cristina Savin,nan,Máté Lengyel,"Department of Engineering, University of Cambridge",NIPS,Two is better than one - distinct roles for familiarity and recollection in retrieving palimpsest memories.,3,https://proceedings.neurips.cc/paper/2011/hash/288cc0ff022877bd3df94bc9360b9c5d-Abstract.html,https://dblp.org/rec/conf/nips/SavinDL11
253,2011,Andrew M. Saxe,nan,Andrew Y. Ng,吳恩達,NIPS,Unsupervised learning models of primary cortical receptive fields and receptive field plasticity.,5,https://proceedings.neurips.cc/paper/2011/hash/e19347e1c3ca0c0b97de5fb3b690855a-Abstract.html,https://dblp.org/rec/conf/nips/SaxeBMSN11
254,2011,Mark Schmidt 0001,"GTE/GTEL Business Communication Systems, Fremont, Canada",Francis R. Bach,"École Normale Supérieure, Computer Science Department",NIPS,Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization.,3,https://proceedings.neurips.cc/paper/2011/hash/8f7d807e1f53eff5f9efbe5cb81090fb-Abstract.html,https://dblp.org/rec/conf/nips/SchmidtRB11
255,2011,Yevgeny Seldin,nan,Ronald Ortner,nan,NIPS,PAC-Bayesian Analysis of Contextual Bandits.,5,https://proceedings.neurips.cc/paper/2011/hash/58e4d44e550d0f7ee0a23d6b02d9b0db-Abstract.html,https://dblp.org/rec/conf/nips/SeldinALSO11
256,2011,Rocco A. Servedio,"Columbia University, New York City, USA",Philip M. Long,"Google, Mountain View, CA, USA",NIPS,Algorithms and hardness results for parallel large margin learning.,2,https://proceedings.neurips.cc/paper/2011/hash/b7ee6f5f9aa5cd17ca1aea43ce848496-Abstract.html,https://dblp.org/rec/conf/nips/ServedioL11
257,2011,Shai Shalev-Shwartz,"The Hebrew University of Jerusalem, School of Computer Science and Engineering",Amnon Shashua,"Hebrew University of Jerusalem, Israel",NIPS,ShareBoost - Efficient multiclass learning with feature sharing.,3,https://proceedings.neurips.cc/paper/2011/hash/556f391937dfd4398cbac35e050a2177-Abstract.html,https://dblp.org/rec/conf/nips/Shalev-ShwartzWS11
258,2011,Blake Shaw,nan,Tony Jebara,"Columbia University, New York City, USA",NIPS,Learning a Distance Metric from a Network.,3,https://proceedings.neurips.cc/paper/2011/hash/dc58e3a306451c9d670adcd37004f48f-Abstract.html,https://dblp.org/rec/conf/nips/ShawHJ11
259,2011,Daniel R. Sheldon,University of Massachusetts Amherst,Thomas G. Dietterich,"Oregon State University, School of Electrical Engineering and Computer Science",NIPS,Collective Graphical Models.,2,https://proceedings.neurips.cc/paper/2011/hash/fccb3cdc9acc14a6e70a12f74560c026-Abstract.html,https://dblp.org/rec/conf/nips/SheldonD11
260,2011,Jacquelyn A. Shelton,"Technische Universität Berlin, Germany",Jörg Lücke,"University of Oldenburg, Germany",NIPS,Select and Sample - A Model of Efficient Neural Inference and Learning.,5,https://proceedings.neurips.cc/paper/2011/hash/a424ed4bd3a7d6aea720b86d4a360f75-Abstract.html,https://dblp.org/rec/conf/nips/SheltonBSBL11
261,2011,Michael Shindler,nan,Adam Meyerson,"University of California, Los Angeles, USA",NIPS,Fast and Accurate k-means For Large Datasets.,3,https://proceedings.neurips.cc/paper/2011/hash/52c670999cdef4b09eb656850da777c4-Abstract.html,https://dblp.org/rec/conf/nips/ShindlerWM11
262,2011,Pannagadatta K. Shivaswamy,nan,Tony Jebara,"Columbia University, New York City, USA",NIPS,Variance Penalizing AdaBoost.,2,https://proceedings.neurips.cc/paper/2011/hash/46072631582fc240dd2674a7d063b040-Abstract.html,https://dblp.org/rec/conf/nips/ShivaswamyJ11
263,2011,Nitesh Shroff,nan,Rama Chellappa,"University of Maryland, College Park, USA",NIPS,Manifold Precis - An Annealing Technique for Diverse Sampling of Manifolds.,3,https://proceedings.neurips.cc/paper/2011/hash/d1f491a404d6854880943e5c3cd9ca25-Abstract.html,https://dblp.org/rec/conf/nips/ShroffTC11
264,2011,Ricardo Bezerra de Andrade e Silva,"Carnegie Mellon University, Pittsburgh, USA",Ricardo Bezerra de Andrade e Silva,"Carnegie Mellon University, Pittsburgh, USA",NIPS,Thinning Measurement Models and Questionnaire Design.,1,https://proceedings.neurips.cc/paper/2011/hash/bcbe3365e6ac95ea2c0343a2395834dd-Abstract.html,https://dblp.org/rec/conf/nips/Silva11
