,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
137,137,Ming-Yu Liu,Male,MERL,Oncel Tuzel,Male,Mitsubishi Electric Research Labs (MERL),Coupled Generative Adversarial Networks.
138,138,Oriol Vinyals,Male,Google DeepMind,Daan Wierstra,Male,Google DeepMind,Matching Networks for One Shot Learning.
139,139,Shandian Zhe,Male,Purdue University,Zoubin Ghahramani,Male,Uber and University of Cambridge,Distributed Flexible Nonlinear Tensor Factorization.
140,140,Chen-Yu Wei,Male,Academia Sinica,Chi-Jen Lu,Male,Academia Sinica,Tracking the Best Expert in Non-stationary Stochastic Environments.
141,141,Jinzhuo Wang,Male,PKU,Wen Gao,Male,peking university,Deep Alternative Neural Network: Exploring Contexts as Early as Possible for Action Recognition.
142,142,Yongbo Li,Male,Xidian University,Donglai Xu,Male,Teesside University,Learning Parametric Sparse Models for Image Super-Resolution.
143,143,Hassan A Kingravi,Male,Pindrop Security Services,Girish Chowdhary,Male,UIUC,Kernel Observers: Systems-Theoretic Modeling and Inference of Spatiotemporally Evolving Processes.
144,144,Elvis DOHMATOB,Male,Inria,Bertrand Thirion,Male,INRIA,Learning brain regions via large-scale online structured sparse dictionary learning.
145,145,Yin Cheng Ng,Male,University College London,Ricardo Silva,Male,University College London,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages.
146,146,Yang Liu,Male,Harvard University,Yiling Chen,Male,Harvard University,A Bandit Framework for Strategic Regression.
147,147,Michaël Defferrard,Male,EPFL,Pierre Vandergheynst,Male,EPFL,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering.
148,148,Qiang Liu,Male,Dartmouth College,Dilin Wang,Male,Dartmouth College,Stein Variational Gradient Descent: A General Purpose Bayesian Inference Algorithm.
149,149,Lane McIntosh,Male,Stanford University,Stephen Baccus,Male,Stanford University,Deep Learning Models of the Retinal Response to Natural Scenes.
150,150,Remi Munos,Male,Google DeepMind,Marc Bellemare,Male,Google DeepMind,Safe and Efficient Off-Policy Reinforcement Learning.
151,151,Firas Abuzaid,Male,MIT,Ameet S Talwalkar,Male,CMU,Yggdrasil: An Optimized System for Training Deep Decision Trees at Scale.
152,152,Maria-Florina Balcan,Female,Carnegie Mellon University,Ellen Vitercik,Female,Carnegie Mellon University,Sample Complexity of Automated Mechanism Design.
153,153,Ian Osband,Male,DeepMind,Benjamin Van Roy,Male,Stanford University,Deep Exploration via Bootstrapped DQN.
154,154,Alina Beygelzimer,Female,Yahoo Inc,Chicheng Zhang,Male,UCSD,Search Improves Label for Active Learning.
155,155,Bipin Rajendran,Male,NJIT,Yash H Malviya,Male,IIT Bombay,Efficient and Robust Spiking Neural Circuit for Navigation Inspired by Echolocating Bats.
156,156,Gang Niu,Male,University of Tokyo,Masashi Sugiyama,Male,RIKEN / University of Tokyo,Theoretical Comparisons of Positive-Unlabeled Learning against Positive-Negative Learning.
157,157,Ping Li,Male,Baidu Research USA,Martin Slawski,Male,George Mason University,Quantized Random Projections and Non-Linear Estimation of Cosine Similarity.
158,158,Yunhe Wang,Male,Peking University,Chao Xu,Male,Peking University,CNNpack: Packing Convolutional Neural Networks in the Frequency Domain.
159,159,Zohar Karnin,Male,Yahoo Research,Zohar Karnin,Male,Yahoo Research,Verification Based Solution for Structured MAB Problems.
160,160,Daniel Ritchie,Male,Stanford University,Noah Goodman,Male,Stanford University,Neurally-Guided Procedural Models: Amortized Inference for Procedural Graphics Programs using Neural Networks.
161,161,Diana Cai,Female,University of Chicago,Tamara Broderick,Female,MIT,Edge-exchangeable graphs and sparsity.
162,162,Abir De,Male,IIT Kharagpur,Manuel Gomez Rodriguez,Male,MPI-SWS,Learning and Forecasting Opinion Dynamics in Social Networks.
163,163,Eric Schulz,Male,University College London,Samuel J Gershman,Male,Harvard University,Probing the Compositionality of Intuitive Functions.
164,164,Davide Boscaini,Male,University of Lugano,Michael Bronstein,Male,University of Lugano,Learning shape correspondence with anisotropic convolutional neural networks.
165,165,Tim Salimans,Male,Algoritmica,Xi Chen,Male,UC Berkeley and OpenAI,Improved Techniques for Training GANs.
166,166,Uygar Sümbül,Male,Columbia University,Liam Paninski,Male,Columbia University,Automated scalable segmentation of neurons from multispectral images.
167,167,Se-Young Yun,Male,Los Alamos National Laboratory,Alexandre Proutiere,Male,KTH,Optimal Cluster Recovery in the Labeled Stochastic Block Model.
168,168,Sougata Chaudhuri,Male,University of Michigan,Ambuj Tewari,Male,University of Michigan,Phased Exploration with Greedy Exploitation in Stochastic Combinatorial Partial Monitoring Games.
169,169,Trung Le,Male,University of Pedagogy Ho Chi Minh city,Dinh Phung,Male,Deakin University,Dual Space Gradient Descent for Online Learning.
