,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
589,Colin Wei,Stanford University,Male,Tengyu Ma,Stanford,Male,The Implicit and Explicit Regularization Effects of Dropout
590,Cheng Zheng,UCLA,Male,Wei Wang,UCLA,Female,Robust Graph Representation Learning via Neural Sparsification
591,Hadrien Hendrikx,INRIA,Male,Laurent Massoulié,MSR-INRIA Joint Center,Male,Statistically Preconditioned Accelerated Gradient Method for Distributed Optimization
592,Maya Gupta,Google,Female,Sen Zhao,Google Research,Male,Multidimensional Shape Constraints
593,Kristy Choi,Stanford University,Female,JesseEngel Engel,Google Brain,Male,Encoding Musical Style with Transformer Autoencoders
594,Stéphane d'Ascoli,ENS,Male,Florent Krzakala,ENS,Male,Double Trouble in Double Descent:  Bias and Variance(s) in the Lazy Regime
595,Vinayak Abrol,Mathematical Institute Oxford,Male,Pulkit Sharma,University of Oxford,Male,A Geometric Approach to Archetypal Analysis via Sparse Projections
596,Maarten Buyl,Ghent University,Male,Tijl De Bie,Ghent University,Male,DeBayes: a Bayesian Method for Debiasing Network Embeddings
597,Eran Malach,Hebrew University Jerusalem Israel,Male,Ohad Shamir,Weizmann Institute of Science,Male,Proving the Lottery Ticket Hypothesis: Pruning is All You Need
598,Andrea Zanette,Stanford University,Male,Emma Brunskill,Stanford University,Female,Learning Near Optimal Policies with Low Inherent Bellman Error
599,Yura Malitsky,EPFL,Male,Konstantin Mishchenko,King Abdullah University of Science & Technology (KAUST),Male,Adaptive Gradient Descent without Descent
600,Charlie Nash,DeepMind,Male,Peter Battaglia,DeepMind,Male,PolyGen: An Autoregressive Generative Model of 3D Meshes
601,Ankit Goyal,Princeton University,Male,Jia Deng,Princeton University,Male,PackIt: A Virtual Environment for Geometric Planning
602,Rémy Degenne,Inria Paris,Male,Michal Valko,DeepMind,Male,Gamification of Pure Exploration for Linear Bandits
603,Mukund Sundararajan,Google Inc.,Male,Ashish Agarwal,Google Brain,Male,The Shapley Taylor Interaction Index
604,Markos Georgopoulos,Imperial College London,Male,Yannis Panagakis,Imperial College London,Male,Multilinear Latent Conditioning for Generating Unseen Attribute Combinations
605,Yutaro Yamada,Yale University,Male,Yuval Kluger,Yale School of Medicine,Male,Feature Selection using Stochastic Gates
606,Per Sidén,Linköping University,Male,Fredrik Lindsten,Linköping University,Male,Deep Gaussian Markov Random Fields
607,Christopher Anders,TU Berlin,Male,Pan Kessel,TU Berlin,Male,Fairwashing explanations with off-manifold detergent
608,Huan Xiong,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Male,Ling Shao,Inception Institute of Artificial Intelligence,Male,On the Number of Linear Regions of Convolutional Neural Networks
609,William Fedus,Google Brain/Mila,Male,Will Dabney,DeepMind,Male,Revisiting Fundamentals of Experience Replay
610,Amitay Bar,Technion - Israel Institute of Technology,Male,Ron Meir,Technion Israeli Institute of Technology,Male,Option Discovery in the Absence of Rewards with Manifold Analysis
611,Hengyuan Hu,Facebook AI Research,Male,Jakob Foerster,Facebook AI Research,Male,“Other-Play” for Zero-Shot Coordination
612,Robert Peharz,Eindhoven University of Technology,Male,Zoubin Ghahramani,University of Cambridge & Uber,Male,Einsum Networks: Fast and Scalable Learning of Tractable Probabilistic Circuits
613,Q. Wang,"AMLab, University of Amsterdam",Male,Herke van Hoof,University of Amsterdam,Male,Doubly Stochastic Variational Inference for Neural Processes with Hierarchical Latent Variables
614,Badr-Eddine Chérief-Abdellatif,CREST - ENSAE - Institut Polytechnique de Paris,Male,Badr-Eddine Chérief-Abdellatif,CREST - ENSAE - Institut Polytechnique de Paris,Male,Convergence Rates of Variational Inference in Sparse Deep Learning
615,Wendelin Boehmer,University of Oxford,Male,Shimon Whiteson,University of Oxford,Male,Deep Coordination Graphs
616,Alexey Drutsa,Yandex,Male,Alexey Drutsa,Yandex,Male,Reserve Pricing in Repeated Second-Price Auctions with Strategic Bidders
617,Leonard Hasenclever,DeepMind,Male,Josh Merel,DeepMind,Male,CoMic: Complementary Task Learning & Mimicry for Reusable Skills
618,Maria Gorinova,University of Edinburgh,Female,Matt Hoffman,Google,Male,Automatic Reparameterisation of Probabilistic Programs
619,Subho Banerjee,University of Illinois at Urbana-Champaign,Male,Ravishankar Iyer,University of Illinois at Urbana-Champaign,Male,Inductive-bias-driven Reinforcement Learning For Efficient Schedules in Heterogeneous Clusters
620,Anton Obukhov,ETH Zurich,Male,Luc Van Gool,ETH Zurich,Male,T-Basis: a Compact Representation for Neural Networks
621,Emilien Dupont,University of Oxford,Male,Qi Shan,Apple Inc,Male,Equivariant Neural Rendering
622,Omer Gottesman,Harvard University,Male,Finale Doshi-Velez,Harvard University,Female,Interpretable Off-Policy Evaluation in Reinforcement Learning by Highlighting Influential Transitions
623,Marc Abeille,Criteo AI Lab,Male,Alessandro Lazaric,Facebook AI Research,Male,Efficient Optimistic Exploration in Linear-Quadratic Regulators via Lagrangian Relaxation
624,lei luo,JD,Male,Heng Huang,University of Pittsburgh & JD Finance America Corporation,Male,Adversarial Nonnegative Matrix Factorization
625,Jeremias Knoblauch,Warwick University & The Alan Turing Institute,Male,Tom Diethe,Amazon,Male,Optimal Continual Learning has Perfect Memory and is NP-hard
626,Dongsung Huh,MIT-IBM Watson AI Lab,Male,Dongsung Huh,MIT-IBM Watson AI Lab,Male,Curvature-corrected learning dynamics in deep neural networks
627,Arthur Jacot,EPFL,Male,Franck Gabriel,EPFL,Male,Implicit Regularization of Random Feature Models
628,Zhize Li,King Abdullah University of Science and Technology (KAUST),Male,Peter Richtarik,KAUST,Male,Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization
629,Xuanqing Liu,University of California Los Angeles,Male,Cho-Jui Hsieh,UCLA,Male,Learning to Encode Position for Transformer with Continuous Dynamical Model
630,Zahra Monfared,CIMH/ Heidelberg University,Female,Daniel Durstewitz,CIMH/ Heidelberg University,Male,Transformation of ReLU-based recurrent neural networks from discrete-time to continuous-time
631,Michael Lohaus,University of Tübingen,Male,Ulrike von Luxburg,University of Tübingen,Female,Too Relaxed to Be Fair
632,Armin Eftekhari,Umea University,Male,Armin Eftekhari,Umea University,Male,Training Linear Neural Networks: Non-Local Convergence and Complexity Results
633,Yuan Zhou,University of Oxford,Female,Tom Rainforth,University of Oxford,Male,"Divide, Conquer, and Combine: a New Inference Strategy for Probabilistic Programs with Stochastic Support"
634,Konstantinos Pitas,Ecole Polytechnique Federale de Lausanne,Male,Konstantinos Pitas,Ecole Polytechnique Federale de Lausanne,Male,Dissecting Non-Vacuous Generalization Bounds based on the Mean-Field Approximation
635,Alexandre Sablayrolles,Facebook AI,Male,Herve Jegou,Facebook AI Research,Male,Radioactive data: tracing through training
636,Jongseok Lee,German Aerospace Center (DLR),Male,Rudolph Triebel,German Aerospace Center (DLR),Male,Estimating Model Uncertainty of Neural Networks in Sparse Information Form
637,Hai Phan,New Jersey Institute of Technology,Male,Dejing Dou,""" University of Oregon, USA""",Male,Scalable Differential Privacy with Certified Robustness in Adversarial Learning
638,Jean Tarbouriech,Facebook AI Research & Inria,Male,Alessandro Lazaric,Facebook AI Research,Male,No-Regret Exploration in Goal-Oriented Reinforcement Learning
639,Davin Choo,ETH Zurich,Male,Vaclav Rozhon,ETH,Male,k-means++:  few more steps yield constant approximation
640,Nathan Kallus,Cornell University,Male,Nathan Kallus,Cornell University,Male,DeepMatch: Balancing Deep Covariate Representations for Causal Inference Using Adversarial Training
641,Rob Cornish,University of Oxford,Male,Arnaud Doucet,Oxford University,Male,Relaxing Bijectivity Constraints with Continuously Indexed Normalising Flows
642,Ilai Bistritz,Stanford University,Male,Nicholas Bambos,Stanford University,Male,My Fair Bandit: Distributed Learning of Max-Min Fairness with Multi-player Bandits
643,Eugene Golikov,Moscow Institute of Physics and Technology,Male,Eugene Golikov,Moscow Institute of Physics and Technology,Male,Towards a General Theory of Infinite-Width Limits of Neural Classifiers
644,Rotem Mulayoff,Technion - Israel Institute of Technology,Male,Tomer Michaeli,Technion,Male,Unique Properties of Flat Minima in Deep Networks
645,Badih Ghazi,Google,Male,Rasmus Pagh,IT University of Copenhagen,Male,Private Counting from Anonymous Messages: Near-Optimal Accuracy with Vanishing Communication Overhead
646,Ahmet Alacaoglu,EPFL,Male,Volkan Cevher,EPFL,Male,A new regret analysis for Adam-type algorithms
647,Scott Pesme,EPFL,Male,Nicolas Flammarion,EPFL,Male,On Convergence-Diagnostic based Step Sizes for Stochastic Gradient Descent
648,Yehuda Dar,Rice University,Male,Richard Baraniuk,OpenStax / Rice University,Male,Subspace Fitting Meets Regression: The Effects of Supervision and  Orthonormality Constraints on Double Descent of Generalization Errors
649,Alex Gittens,Rensselaer Polytechnic Institute,Male,Bülent Yener,Rensselaer Polytechnic Institute,Male,Adaptive Sketching for Fast and Convergent Canonical Polyadic Decomposition
650,Wessel Bruinsma,University of Cambridge and Invenia Labs,Male,Richard E Turner,University of Cambridge,Male,Scalable Exact Inference in Multi-Output Gaussian Processes
651,Saeed Amizadeh,Microsoft,Male,Kazuhito Koishida,Microsoft,Male,"Neuro-Symbolic Visual Reasoning: Disentangling ""Visual"" from ""Reasoning"""
652,Laura Rieger,Technical University of Denmark,Female,Bin Yu,"University of California, Berkeley",Male,Interpretations are Useful: Penalizing Explanations to Align Neural Networks with Prior Knowledge
653,Thomas Scialom,reciTAL,Male,Jacopo Staiano,reciTAL,Male,Discriminative Adversarial Search for Abstractive Summarization
654,Angelos Katharopoulos,Idiap & EPFL,Male,François Fleuret,University of Geneva,Male,Transformers are RNNs: Fast Autoregressive Transformers with Linear Attention
655,Anastasia Koloskova,EPFL,Female,Sebastian Stich,EPFL,Male,A Unified Theory of Decentralized SGD with Changing Topology and Local Updates
656,Qiang Zhang,University College London,Male,Emine Yilmaz,University College London,Male,Self-Attentive Hawkes Process
657,Nicolai Engelmann,Technische Universitat Darmstadt,Male,Heinz Koeppl,TU Darmstadt,Male,Continuous Time Bayesian Networks with Clocks
658,Csaba Toth,University of Oxford,Male,Harald Oberhauser,University of Oxford,Male,Bayesian Learning from Sequential Data using Gaussian Processes with Signature Covariances
659,Federica Gerace,Institut de Physique Théorique,Female,Lenka Zdeborova,CNRS,Female,Generalisation error in learning with random features and the hidden manifold model
660,Nemanja Djuric,Uber ATG,Male,Slobodan Vucetic,Temple University,Male,Growing Adaptive Multi-hyperplane Machines
661,Samuel Smith,DeepMind,Male,Soham De,DeepMind,Male,On the Generalization Benefit of Noise in Stochastic Gradient Descent
662,Miles Lopes,"University of California, Davis",Male,Jessie X.T. Chen,UC Davis,Female,Estimating the Error of Randomized Newton Methods: A Bootstrap Approach
663,Srinivasan Arunachalam,IBM,Male,Reevu Maity,Oxford University,Male,Quantum Boosting
664,Nikola Konstantinov,IST Austria,Male,Christoph H. Lampert,IST Austria,Male,On the Sample Complexity of Adversarial Multi-Source PAC Learning
665,Cyrille W. Combettes,Georgia Institute of Technology,Male,Sebastian Pokutta,ZIB,Male,Boosting Frank-Wolfe by Chasing Gradients
666,Kirill Neklyudov,Samsung,Male,Dmitry Vetrov,"Higher School of Economics, Samsung AI Center Moscow",Male,Involutive MCMC: a Unifying Framework
667,Daniyar Chumbalov,EPFL,Male,Matt Grossglauser,EPFL,Male,Scalable and Efficient Comparison-based Search without Features
668,Pierre Ablin,CNRS and ENS,Male,Thomas Moreau,Inria,Male,Super-efficiency of automatic differentiation for functions defined as a minimum
669,Ramin Hasani,MIT,Male,Radu Grosu,TU Wien,Male,A Natural Lottery Ticket Winner: Reinforcement Learning with Ordinary Neural Circuits
670,Emmanuel Bengio,McGill University,Male,Doina Precup,McGill University / DeepMind,Female,Interference and Generalization in Temporal Difference Learning
671,Christos Matsoukas,KTH Royal Institute of Technology,Male,Kevin Smith,KTH Royal Institute of Technology,Male,Adding seemingly uninformative labels helps in low data regimes
672,Roberta Raileanu,NYU,Female,Facebook Rob Fergus,"Facebook AI Research, NYU",Male,Fast Adaptation to New Environments via Policy-Dynamics Value Functions
673,Amos Gropp,Weizmann Institute of Science,Male,Yaron Lipman,Weizmann Institute of Science,Male,Implicit Geometric Regularization for Learning Shapes
674,Markus Nagel,Qualcomm AI Research,Male,Tijmen Blankevoort,Qualcomm,Male,Up or Down? Adaptive Rounding for Post-Training Quantization
675,Rasheed El-Bouri,University of Oxford,Male,David Clifton,University of Oxford,Male,Student-Teacher Curriculum Learning via Reinforcement Learning: Predicting Hospital Inpatient Admission Location
676,Vien Van Mai,KTH Royal Institute of Technology,Male,Mikael Johansson,KTH Royal Institute of Technology,Male,Convergence of a Stochastic Gradient Method with Momentum for Non-Smooth Non-Convex Optimization
677,Joel Frank,Ruhr University Bochum,Male,Thorsten Holz,Ruhr-Universität Bochum,Male,Leveraging Frequency Analysis for Deep Fake Image Recognition
678,William Wilkinson,Aalto University,Male,Arno Solin,Aalto University,Male,State Space Expectation Propagation: Efficient Inference Schemes for Temporal Gaussian Processes
679,David Romero,Vrije Universiteit Amsterdam,Male,Mark Hoogendoorn,Vrije Universiteit Amsterdam,Male,Attentive Group Equivariant Convolutional Networks
680,Elad Sarafian,Bar-Ilan University,Male,Sarit Kraus,Bar-Ilan University,Male,Explicit Gradient Learning for Black-Box Optimization
681,Zoltán Á. Milacski,ELTE Eötvös Loránd University,Male,Andras Lorincz,Eotvos Lorand University,Male,VideoOneNet: Bidirectional Convolutional Recurrent OneNet with Trainable Data Steps for Video Processing
682,Alberto Maria Metelli,Politecnico di Milano,Male,Marcello Restelli,Politecnico di Milano,Male,Control Frequency Adaptation via Action Persistence in Batch Reinforcement Learning
683,Gal Yehuda,"Technion, I.I.T",Male,Assaf Schuster,Technion,Male,"It's Not What Machines Can Learn, It's What We Cannot Teach"
684,Filip Hanzely,KAUST,Male,Peter Richtarik,KAUST,Male,Variance Reduced Coordinate Descent with Acceleration: New Method With a Surprising Application to Finite-Sum Problems
685,samuel cohen,University College London,Male,Marc Deisenroth,University College London,Male,Healing Products of Gaussian Process Experts
686,Jorg Bornschein,DeepMind,Male,Simon Osindero,DeepMind,Male,"Small Data, Big Decisions: Model Selection in the Small-Data Regime"
687,Chen-Yu Wei,University of Southern California,Male,Rahul Jain,USC,Male,Model-free Reinforcement Learning in Infinite-horizon Average-reward Markov Decision Processes
688,Thomas Quinn,A2I2,Male,Svetha Venkatesh,Deakin University,Female,DeepCoDA: personalized interpretability for compositional health data
689,Vincent Dutordoir,PROWLER.io,Male,James Hensman,PROWLER.io,Male,Sparse Gaussian Processes with Spherical Harmonic Features
690,Guy Hacohen,Hebrew University of Jerusalem,Male,Daphna Weinshall,"Hebrew University of Jerusalem, Israel",Female,Let's Agree to Agree: Neural Networks Share Classification Order on Real Datasets
691,Aditya Rajagopal,Imperial College London,Male,Christos-Savvas Bouganis,Imperial College London,Male,Multi-Precision Policy Enforced Training (MuPPET) : A Precision-Switching Strategy for Quantised Fixed-Point Training of CNNs
692,Francesco Croce,University of Tuebingen,Male,Matthias Hein,University of Tübingen,Male,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks
693,Andrea Hornakova,Max Planck Institute for Informatics,Female,Paul Swoboda,"MPI fuer Informatik, Saarbruecken",Male,Lifted Disjoint Paths with Application in Multiple Object Tracking
694,Sung Whan Yoon,Ulsan National Institute of Science and Technology (UNIST),Male,Jaekyun Moon,KAIST,Male,XtarNet: Learning to Extract Task-Adaptive Representation for Incremental Few-Shot Learning
695,Yu Guang Wang,UNSW; MPI MIS,Male,Yanan Fan,University of New South Wales,Female,Haar Graph Pooling
696,Chengcheng Wan,University of Chicago,Male,Michael Maire,University of Chicago,Male,Orthogonalized SGD and Nested Architectures for Anytime Neural Networks
697,Vlad Niculae,Instituto de Telecomunicações // NIF 502854200,Male,Andre Filipe Torres Martins,Instituto de Telecomunicacoes,Male,LP-SparseMAP: Differentiable Relaxed Optimization for Sparse Structured Prediction
698,Adrià Puigdomenech Badia,Deepmind,Male,Charles Blundell,DeepMind,Male,Agent57: Outperforming the Atari Human Benchmark
699,Jin Xu,University of Oxford,Male,Yee Whye Teh,Oxford and DeepMind,Male,MetaFun: Meta-Learning with Iterative Functional Updates
700,Rixon Crane,The University of Queensland,Male,Fred Roosta,University of Queensland,Male,DINO: Distributed Newton-Type Optimization Method
701,Nathan Kallus,Cornell University,Male,Masatoshi Uehara,Harvard University,Male,Statistically Efficient Off-Policy Policy Gradients
702,Ioana Bica,University of Oxford,Female,Mihaela van der Schaar,University of Cambridge and UCLA,Female,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders
703,Akifumi Wachi,IBM Research AI,Male,Yanan Sui,Tsinghua University,Male,Safe Reinforcement Learning in Constrained Markov Decision Processes
704,Yuko Kuroki,The University of Tokyo /RIKEN,Female,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Online Dense Subgraph Discovery via Blurred-Graph Feedback
705,Michihiro Yasunaga,Stanford University,Male,Percy Liang,Stanford University,Male,"Graph-based, Self-Supervised Program Repair from Diagnostic Feedback"
706,Kangrui Wang,The Alan Turing Institute,Male,Mark Steel,University of Warwick,Male,Non-separable Non-stationary random fields
707,Wei Chen,Microsoft,Male,Zhijie Zhang,"Institute of Computing Technology, Chinese Academy of Sciences",Male,Optimization from Structured Samples for Coverage Functions
708,Wuyang Chen,Texas A&M University,Male,Anima Anandkumar,Amazon AI & Caltech,Female,Automated Synthetic-to-Real Generalization
709,Yi-Hsuan Wu,National Tsing Hua University,Female,Shan-Hung (Brandon) Wu,National Tsing Hua University,Male,Adversarial Robustness via Runtime Masking and Cleansing
710,Zhiyu Yao,Tsinghua University,Male,Jianmin Wang,Tsinghua University,Male,Unsupervised Transfer Learning for Spatiotemporal Predictive Networks
711,Yihan Wang,Tsinghua University,Male,Cho-Jui Hsieh,UCLA,Male,On Lp-norm Robustness of Ensemble Decision Stumps and Trees
712,Yuchao Cai,"AI Lab, Samsung Research China - Beijing",Female,Zhouchen Lin,Peking University,Male,Boosted Histogram Transform for Regression
713,Inseop Chung,Seoul National University,Male,NOJUN KWAK,Seoul National University,Male,Feature-map-level Online Adversarial Knowledge Distillation
714,Alexia Jolicoeur-Martineau,Mila,Female,Alexia Jolicoeur-Martineau,Mila,Female,On Relativistic f-Divergences
715,Sai Ganesh Nagarajan,SUTD,Male,Georgios Piliouras,Singapore University of Technology and Design,Male,From Chaos to Order: Symmetry and Conservation Laws in Game Dynamics
716,Mingtian Zhang,UCL,Male,David Barber,University College London,Male,Spread Divergence
717,Hang Lai,Shanghai Jiao Tong University,Male,Yong Yu,Shanghai Jiao Tong University,Male,Bidirectional Model-based Policy Optimization
718,Shali Jiang,Washington University in St. Louis,Male,Roman Garnett,Washington University in St. Louis,Male,"BINOCULARS for efficient, nonmyopic sequential experimental design"
719,Yuxin Wen,South China University of Technology,Male,Kui Jia,South China University of Technology,Male,Towards Understanding the Regularization of Adversarial Robustness on Neural Networks
720,Kimon Fountoulakis,University of Waterloo,Male,Shenghao Yang,University of Waterloo,Male,p-Norm Flow Diffusion for Local Graph Clustering
721,Rachel Cummings,Georgia Tech,Female,Wanrong Zhang,Georgia Institute of Technology,Female,Privately detecting changes in unknown distributions
722,Quinlan Sykora,Uber ATG,Male,Raquel Urtasun,Uber ATG & University of Toronto,Male,Multi-Agent Routing Value Iteration Network
723,Blair Bilodeau,University of Toronto,Male,Daniel Roy,University of Toronto; Vector Institute,Male,Improved Bounds on Minimax Regret under Logarithmic Loss via Self-Concordance
724,Maggie Makar,MIT,Female,David Sontag,Massachusetts Institute of Technology,Male,Estimation of Bounds on Potential Outcomes For Decision Making
725,Shiyu Chang,MIT-IBM Watson AI Lab,Male,Tommi Jaakkola,MIT,Male,Invariant Rationalization
726, Hassan Rafique,The University of Iowa,Male,Arshia Singhani,BASIS Independent Silicon Valley,Female,Transparency Promotion with Model-Agnostic Linear Competitors
727,Edric Tam,Duke University,Male,David Dunson,Duke University,Male,Fiedler Regularization: Learning Neural Networks with Graph Sparsity
728,Krzysztof Choromanski,Google Brain Robotics,Male,Vikas Sindhwani,Google,Male,Stochastic Flows and Geometric Optimization on the Orthogonal Group
729,Songzhu Zheng,Stony Brook University,Male,Chao Chen,Stony Brook University,Male,Error-Bounded Correction of Noisy Labels
730,Tanmay Shankar,Facebook AI Research,Male,Abhinav Gupta,Carnegie Mellon University,Male,Learning Robot Skills with Temporal Variational Inference
731,Joon Kim,Carnegie Mellon University,Male,Ameet Talwalkar,Carnegie Mellon University,Male,FACT: A Diagnostic for Group Fairness Trade-offs
732,Yuan Deng,Duke University,Male,Vahab Mirrokni,Google Research,Male,Robust Pricing in Dynamic Mechanism Design
733,Ashley Edwards,Uber AI,Female,Jason Yosinski,Deep Collective,Male,"Estimating Q(s,s') with Deep Deterministic Dynamics Gradients"
734,Yunhua Xiang,University of Washington,Female,Noah Simon,University of Washington,Male,A Flexible Framework for Nonparametric Graphical Modeling that Accommodates Machine Learning
735,Kefan Dong,Tsinghua University,Male,Tengyu Ma,Stanford,Male,On the Expressivity of Neural Networks for Deep Reinforcement Learning
736,Xiao Shi Huang,Layer 6,Male,Maksims Volkovs,Layer6 AI,Male,Improving Transformer Optimization Through Better Initialization 
737,Micah Goldblum,University of Maryland,Male,Tom Goldstein,University of Maryland,Male,Unraveling Meta-Learning: Understanding Feature Representations for Few-Shot Tasks
738,Mingyuan Zhang,University of Pennsylvania,Male,Shivani Agarwal,University of Pennsylvania,Female,Convex Calibrated Surrogates for the Multi-Label F-Measure
739,Jiaming Song,Stanford,Male,Stefano Ermon,Stanford University,Male,Bridging the Gap Between f-GANs and Wasserstein GANs
740,Tongzhou Wang,MIT,Male,Phillip Isola,MIT,Male,Understanding Contrastive Representation Learning through Alignment and Uniformity on the Hypersphere
741,Adam Ibrahim,"Mila, Université de Montréal",Male,Ioannis Mitliagkas,"MILA, UdeM",Male,Linear Lower Bounds and Conditioning of Differentiable Games
742,Michal Lukasik,Google Research,Male,Sanjiv Kumar,"Google Research, NY",Male,Does label smoothing mitigate label noise?
743,Evangelia Gergatsouli,UW-Madison,Female,Christos Tzamos,UW-Madison,Male,Black-Box Methods for Restoring Monotonicity
744,Jingyu Zhao,The University of Hong Kong,Male,Guangjian Tian,Huawei Noah’s Ark Lab,Male,Do RNN and LSTM have Long Memory?
745,Farzan Farnia,Massachusetts Institute of Technology,Male,Asuman Ozdaglar,MIT,Male,Do GANs always have Nash equilibria?
746,Thibaut Vidal,Pontifical Catholic University of Rio de Janeiro,Male,Maximilian Schiffer,"TUM School of Management, Technical University of Munich",Male,Born-again Tree Ensembles
747,Hoang NT,RIKEN AIP & Tokyo Tech,Male,Takanori Maehara,RIKEN AIP,Male,Graph Homomorphism Convolution
748,Yuji Roh,KAIST,Male,Changho Suh,KAIST,Male,FR-Train: A Mutual Information-Based Approach to Fair and Robust Training
749,Qinqing Zheng,University of Pennsylvania,Female,Weijie Su,University of Pennsylvania,Male,Sharp Composition Bounds for Gaussian Differential Privacy via Edgeworth Expansion
750,Bingcong Li,University of Minnesota,Male,Georgios B. Giannakis,University of Minnesota,Male,Almost Tune-Free Variance Reduction
751,Nina Balcan,Carnegie Mellon University,Female,Ellen Vitercik,Carnegie Mellon University,Female,Refined bounds for algorithm configuration: The knife-edge of dual class approximability
752,Corinna Cortes,Google Research,Female,Ningshan Zhang,Hudson River Trading,Female,Online Learning with Dependent Stochastic Feedback Graphs
753,Jaesik Yoon,SAP,Male,Sungjin Ahn,Rutgers University,Male,Robustifying Sequential Neural Processes
754,Peisong Wang,"Institute of Automation, Chinese Academy of Sciences",Male,Jian Cheng,"""Chinese Academy of Sciences, China""",Male,Towards Accurate Post-training Network Quantization via Bit-Split and Stitching
755,Kyriakos Axiotis,MIT,Male,Maxim Sviridenko,Yahoo! Research,Male,Sparse Convex Optimization via Adaptively Regularized Hard Thresholding
756,Juan Perdomo,"University of California, Berkeley",Male,University of California Moritz Hardt,"University of California, Berkeley",Male,Performative Prediction
757,Joey Bose,McGill/Mila,Male,Will Hamilton,McGill University and Mila,Male,Latent Variable Modelling with Hyperbolic Normalizing Flows
758,Hanrui Zhang,Duke University,Male,Vincent Conitzer,Duke,Male,Learning the Valuations of a $k$-demand Agent
759,Tamara Fernandez,University College London,Female,Wenkai Xu,Gatsby Unit，UCL,Male,Kernelized Stein Discrepancy Tests of Goodness-of-fit  for Time-to-Event Data
760,Wenhui Yu,Tsinghua University,Male,Zheng Qin,Tsinghua University,Male,Graph Convolutional Network for Recommendation with Low-pass Collaborative Filters
761,Yasutoshi Ida,NTT,Male,Hisashi Kashima,Kyoto University/RIKEN Center for AIP,Male,Fast Deterministic CUR Matrix Decomposition with Accuracy Assurance
762,Yi Li,Nanyang Technological University,Male,David Woodruff,Carnegie Mellon University,Male,Input-Sparsity Low Rank Approximation in Schatten Norm
763,Kezhen Chen,Northwestern University,Male,Jianfeng Gao,Microsoft Research AI,Male,Mapping natural-language problems to formal-language solutions using structured neural representations
764,Fabian Pedregosa,Google,Male,Damien Scieur,"Samsung - SAIT AI Lab, Montreal",Male,Acceleration through spectral density estimation
765,Zhun Deng,Harvard,Male,Linjun Zhang,Rutgers University,Male,Interpreting Robust Optimization via Adversarial Influence Functions
766,PRASAD Chalasani,XaiPient,Male,Somesh Jha,"University of Wisconsin, Madison",Male,Concise Explanations of Neural Networks using Adversarial Training
767,Silviu Pitis,University of Toronto,Male,Jimmy Ba,University of Toronto,Male,Maximum Entropy Gain Exploration for Long Horizon Multi-goal Reinforcement Learning
768,Siamak Ravanbakhsh,McGill - Mila,Male,Siamak Ravanbakhsh,McGill - Mila,Male,Universal Equivariant Multilayer Perceptrons
769,Kaiyi Ji,The Ohio State University,Male,Yingbin LIANG,The Ohio State University,Female,History-Gradient Aided Batch Size Adaptation for Variance Reduced Algorithms
770,Yi-Ling Qiao,"University of Maryland, College Park",Male,Ming Lin,UMD-CP & UNC-CH,Female,Scalable Differentiable Physics for Learning and Control
771,Damien Scieur,"Samsung - SAIT AI Lab, Montreal",Male,Fabian Pedregosa,Google,Male,Universal Asymptotic Optimality of Polyak Momentum
772,Huang Hengguan,NUS,Male,Ye Wang,National University of Singapore,Male,Deep Graph Random Process for Relational-Thinking-Based  Speech Recognition
773,Brahma Pavse,University of Texas at Austin,Male,Peter Stone,University of Texas at Austin,Male,Reducing Sampling Error in Batch Temporal Difference Learning
774,Rares-Darius Buhai,Massachusetts Institute of Technology,Male,David Sontag,Massachusetts Institute of Technology,Male,Empirical Study of the Benefits of Overparameterization in Learning Latent Variable Models
775,Corinna Cortes,Google Research,Female,Ningshan Zhang,Hudson River Trading,Female,Adaptive Region-Based Active Learning
776,Giuseppe Vietri,University of Minnesota,Male,Steven Wu,University of Minnesota,Male,New Oracle-Efficient Algorithms for Private Synthetic Data Release
777,Aadirupa Saha,"Indian Institute of Science (IISc), Bangalore",Male,Michal Valko,DeepMind,Male,Improved Sleeping Bandits with Stochastic Action Sets and Adversarial Rewards
778,Yaqi Duan,Princeton University,Female,Mengdi Wang,Princeton University,Female,Minimax-Optimal Off-Policy Evaluation with Linear Function Approximation
779,Sam Witty,"University of Massachusetts, Amherst",Male,Vikash Mansinghka,Massachusetts Institute of Technology,Male,Causal Inference using Gaussian Processes with Structured Latent Confounders
780,Yuda Song,"University of California, San Diego",Male,Sicun Gao,"University of California, San Diego",Male,Provably Efficient Model-based Policy Adaptation
781,Darren Lin,UC Berkeley,Male,Michael Jordan,UC Berkeley,Male,On Gradient Descent Ascent for Nonconvex-Concave Minimax Problems
782,Shaocong Ma,University of Utah,Male,Yi Zhou,University of Utah,Male,Understanding the Impact of Model Incoherence on Convergence of Incremental SGD with Random Reshuffle
783,Tianju Xue,Princeton University,Male,Ryan P. Adams,Princeton University,Male,Amortized Finite Element Analysis for Fast PDE-Constrained Optimization
