,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
116,Hussein Hazimeh,Massachusetts Institute of Technology,Male,Rahul Mazumder,Massachusetts Institute of Technology,Male,The Tree Ensemble Layer: Differentiability meets Conditional Computation
117,Jinzhi Bu,MIT,Female,Yunzong Xu,MIT,Male,Online Pricing with Offline Data: Phase Transition and Inverse Square Law
118,Shashank Rajput,University of Wisconsin - Madison,Male,Dimitris Papailiopoulos,University of Wisconsin-Madison,Male,Closing the convergence gap of SGD without replacement
119,Anson Kahng,Carnegie Mellon University,Male,Ariel Procaccia,Harvard University,Male,Strategyproof Mean Estimation from Multiple-Choice Questions
120,Daniel Kumor,Purdue University,Male,Elias Bareinboim,Columbia,Male,Efficient Identification in Linear Structural Causal Models with Auxiliary Cutsets
121,Umer Siddique,Shanghai Jiao Tong University,Male,Matthieu Zimmer,UM-SJTU JI,Male,Learning Fair Policies in Multi-Objective (Deep) Reinforcement Learning with Average and Discounted Rewards
122,Sachin Goyal,Microsoft research,Male,Prateek Jain,Microsoft Research,Male,DROCC: Deep Robust One-Class Classification
123,Chiru Bhattacharyya,Indian Institute of Science,Male,Ravindran Kannan,Microsoft Research India,Male,Near-optimal sample complexity bounds for learning Latent $k-$polytopes and applications to Ad-Mixtures
124,Joao Monteiro,Institut National de la Recherche Scientifique (INRS),Male,Tiago Falk,INRS-EMT,Male,An end-to-end approach for the verification problem: learning the right distance
125,Lakshay Chauhan,Euclidean Technologies,Male,Zachary Lipton,Carnegie Mellon University,Male,Uncertainty-Aware Lookahead Factor Models for Quantitative Investing
126,Kartik Ahuja,IBM Research,Male,Amit Dhurandhar,IBM Research,Male,Invariant Risk Minimization Games
127,Jennifer Brennan,University of Washington,Female,Kevin Jamieson,University of Washington,Male,Estimating the Number and Effect Sizes of Non-null Hypotheses
128,Ricky Loynd,Microsoft Research,Male,Matthew Hausknecht,Microsoft Research,Male,Working Memory Graphs
129,Xingjian Li,Baidu Research,Male,Dejing Dou,Baidu,Male,RIFLE: Backpropagation in Depth for Deep Transfer Learning through Re-Initializing the Fully-connected LayEr
130,Quan Hoang,Monash University,Male,Dinh Phung,"Monash University, Australia",Male,Parameterized Rate-Distortion Stochastic Encoder
131,Zhiqing Sun,Carnegie Mellon University,Male,Yiming Yang,Carnegie Mellon University,Female,An EM Approach to Non-autoregressive Conditional Sequence Generation
132,Divyam Madaan,KAIST,Male,Sung Ju Hwang,"KAIST, AITRICS",Male,Adversarial Neural Pruning with Latent Vulnerability Suppression
133,Chandramouli Shama Sastry,Dalhousie University/Vector Institute,Male,Sageev Oore,Dalhousie University and Vector Institute,Male,Detecting Out-of-Distribution Examples with Gram Matrices
134,Yibo Jiang,Harvard University,Male,Cengiz Pehlevan,Harvard University,Male,Associative Memory in Iterated Overparameterized Sigmoid Autoencoders
135,Esteban Real,Google Research,Male,Quoc Le,Google Brain,Male,AutoML-Zero: Evolving Machine Learning Algorithms From Scratch
136,Yuhao Zhou,Tsinghua University,Male,Jun Zhu,Tsinghua University,Male,Nonparametric Score Estimators
137,Fereshte Khani,Stanford University,Female,Percy Liang,Stanford University,Male,Feature Noise Induces Loss Discrepancy Across Groups
138,Orlando Romero,Rensselaer Polytechnic Institute,Male,mouhacine Benosman,MERL,Male,Finite-Time Convergence in Continuous-Time Optimization
139,Chi Jin,Princeton University,Male,Tiancheng Yu,MIT,Male,Learning Adversarial Markov Decision Processes with Bandit Feedback and Unknown Transition
140,Randy Ardywibowo,Texas A&M University,Male,Xiaoning Qian,Texas A&M University,Male,NADS: Neural Architecture Distribution Search for Uncertainty Awareness
141,Dibya Ghosh,Google,Male,Marc Bellemare,Google Brain,Male,Representations for Stable Off-Policy Reinforcement Learning
142,Kunal Menda,Stanford University,Male,Zachary Manchester,Stanford,Male,Scalable Identification of Partially Observed Systems with Certainty-Equivalent EM
143,Naman Agarwal,Google Research,Male,Zhou Lu,Princeton University,Male,Boosting for Control of Dynamical Systems
144,Yufeng Zhang,Northwestern University,Male,Zhaoran Wang,Northwestern U,Male,Generative Adversarial Imitation Learning with Neural Network Parameterization: Global Optimality and Convergence Rate
145,Byung-Jun Lee,KAIST,Male,Kee-Eung Kim,KAIST,Male,Batch Reinforcement Learning with Hyperparameter  Gradients
146,Rie Johnson,RJ Research Consulting,Male,Tong Zhang,HKUST,Male,Guided Learning of Nonconvex Models through Successive Functional Gradient Optimization
147,Ron Amit,Technion – Israel Institute of Technology,Male,Kamil Ciosek,Microsoft,Male,Discount Factor as a Regularizer in Reinforcement Learning 
148,Martin Jankowiak,Uber AI Labs,Male,Jacob Gardner,Uber AI Labs,Male,Parametric Gaussian Process Regressors
149,Yun Yun Tsai,National Tsing Hua University,Female,Tsung-Yi Ho,National Tsing Hua University,Male,Transfer Learning without Knowing: Reprogramming Black-box Machine Learning Models with Scarce Data and Limited Resources
150,Nima Eshraghi,University of Toronto,Male,Ben Liang,University of Toronto,Male,Distributed Online Optimization over a Heterogeneous Network
151,Blake Woodworth,Toyota Technological Institute at Chicago,Male,Nati Srebro,Toyota Technological Institute at Chicago,Male,Is Local SGD Better than Minibatch SGD?
152,Sivakanth Gopi,Microsoft,Male,Sergey Yekhanin,Microsoft,Male,Differentially Private Set Union
153,Sebastian Pokutta,ZIB,Male,Alfredo Torrico,"CERC Data Science, Polytechnique Montreal",Male,On the Unreasonable Effectiveness of the Greedy Algorithm: Greedy Adapts to Sharpness
154,Baifeng Shi,Peking University,Male,Jingdong Wang,Microsoft,Male,Informative Dropout for Robust Representation Learning: A Shape-bias Perspective
155,Kaiwen Wu,University of Waterloo,Male,Yaoliang Yu,University of Waterloo,Male,Stronger and Faster Wasserstein Adversarial Attacks
156,Weihao Kong,University of Washington,Male,Sewoong Oh,University of Washington,Male,Meta-learning for Mixed Linear Regression
157,Beidi Chen,Rice University,Female,Anima Anandkumar,Amazon AI & Caltech,Female,Angular Visual Hardness
158,Aman Sinha,Stanford University,Male,Russ Tedrake,MIT,Male,FormulaZero: Distributionally Robust Online Adaptation via Offline Population Synthesis
159,Shangtong Zhang,University of Oxford,Male,Shimon Whiteson,University of Oxford,Male,GradientDICE: Rethinking Generalized Offline Estimation of Stationary Values
160,Saurabh Goyal,IBM Research - India,Male,Ashish Verma,IBM Research,Male,PoWER-BERT: Accelerating BERT Inference via Progressive Word-vector Elimination
161,Soumyabrata Pal,Umass Amherst,Male,Arya Mazumdar,University of Massachusetts Amherst,Male,Recovery of Sparse Signals from a Mixture of Linear Samples
162,Daniel Brown,University of Texas at Austin,Male,Scott Niekum,University of Texas at Austin,Male,Safe Imitation Learning via Fast Bayesian Reward Inference from Preferences
163,Hanjun Dai,Google Brain,Male,Dale Schuurmans,Google / University of Alberta,Male,Scalable Deep Generative Modeling for Sparse Graphs
164,Lechao Xiao,Google Research,Male,Samuel Schoenholz,Google Brain,Male,Disentangling Trainability and Generalization in Deep Neural Networks
165,Veronika Rockova,University of Chicago,Female,Veronika Rockova,University of Chicago,Female,On Semi-parametric Inference for BART
166,Gal Bahar,Technion – Israel Institute of Technology,Male,Moshe Tennenholtz,Technion – Israel Institute of Technology,Male,Fiduciary Bandits
167,Ivan Anokhin,Skolkovo Institute of Science and Technology,Male,Dmitry Yarotsky,Skolkovo Institute of Science and Technology,Male,Low-loss connection of weight vectors: distribution-based approaches
168,John Park,Northeastern University,Male,Rose Yu,"University of California, San Diego",Female,Multiresolution Tensor Learning for Efficient and Interpretable Spatial Analysis
169,Voot Tangkaratt,RIKEN AIP,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Variational Imitation Learning with Diverse-quality Demonstrations
170,Jayadev Acharya,Cornell University,Male,Ziteng Sun,Cornell University,Male,Context Aware Local Differential Privacy
171,Guy Blanc,Stanford University,Male,Li-Yang Tan,Stanford University,Male,Provable guarantees for decision tree induction: the agnostic setting 
172,Debarghya Mukherjee,University of Michigan,Male,Yuekai Sun,University of Michigan,Male,Two Simple Ways to Learn Individual Fairness Metrics from Data
173,Daniel Jarrett,University of Cambridge,Male,Mihaela van der Schaar,University of Cambridge and UCLA,Female,Inverse Active Sensing: Modeling and Understanding Timely Decision-Making
174,Xiangning Chen,UCLA,Male,Cho-Jui Hsieh,UCLA,Male,Stabilizing Differentiable Architecture Search via Perturbation-based Regularization
175,Junzhe Zhang,Columbia University,Male,Junzhe Zhang,Columbia University,Male,Designing Optimal Dynamic Treatment Regimes: A Causal Reinforcement Learning Approach
176,Xianggen Liu,Tsinghua University,Male,Jian Peng,UIUC,Male,A Chance-Constrained Generative Framework for Sequence Optimization
177,Kainan Peng,Baidu Research,Male,Kexin Zhao,Baidu,Male,Non-Autoregressive Neural Text-to-Speech
178,Dara Bahri,Google Research,Male,Maya Gupta,Google,Female,Deep k-NN for Noisy Labels
