,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
3887,2018,Zehong Hu,Alibaba Group,Yang Liu 0018,Harvard University,NeurIPS,Inference Aided Reinforcement Learning for Incentive Mechanism Design in Crowdsourcing.,5,https://proceedings.neurips.cc/paper/2018/hash/f2e43fa3400d826df4195a9ac70dca62-Abstract.html,https://dblp.org/rec/conf/nips/HuLZLL18
3888,2018,Jie Hu,,Andrea Vedaldi,,NeurIPS,Gather-Excite - Exploiting Feature Context in Convolutional Neural Networks.,5,https://proceedings.neurips.cc/paper/2018/hash/dc363817786ff182b7bc59565d864523-Abstract.html,https://dblp.org/rec/conf/nips/HuSASV18
3889,2018,Zhiting Hu,,Eric P. Xing,,NeurIPS,Deep Generative Models with Learnable Knowledge Constraints.,7,https://proceedings.neurips.cc/paper/2018/hash/d7e77c835af3d2a803c1cf28d60575bc-Abstract.html,https://dblp.org/rec/conf/nips/HuYSQLDX18
3890,2018,Wen-bing Huang,,Junzhou Huang,,NeurIPS,Adaptive Sampling Towards Fast Graph Representation Learning.,4,https://proceedings.neurips.cc/paper/2018/hash/01eee509ee2f68dc6014898c309e86bf-Abstract.html,https://dblp.org/rec/conf/nips/Huang0RH18
3891,2018,Huaibo Huang,,Tieniu Tan,,NeurIPS,IntroVAE - Introspective Variational Autoencoders for Photographic Image Synthesis.,5,https://proceedings.neurips.cc/paper/2018/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html,https://dblp.org/rec/conf/nips/HuangLHST18
3892,2018,Siyuan Huang,,Song-Chun Zhu,,NeurIPS,"Cooperative Holistic Scene Understanding - Unifying 3D Object, Layout, and Camera Pose Estimation.",6,https://proceedings.neurips.cc/paper/2018/hash/82161242827b703e6acf9c726942a1e4-Abstract.html,https://dblp.org/rec/conf/nips/HuangQXZWZ18
3893,2018,Chin-Wei Huang,,Aaron C. Courville,,NeurIPS,Improving Explorability in Variational Inference with Annealed Variational Objectives.,4,https://proceedings.neurips.cc/paper/2018/hash/65b0df23fd2d449ae1e4b2d27151d73b-Abstract.html,https://dblp.org/rec/conf/nips/HuangTLC18
3894,2018,Jessie Huang,McGill University,Yang Cai 0001,Yale University,NeurIPS,Learning Safe Policies with Expert Guidance.,4,https://proceedings.neurips.cc/paper/2018/hash/a89b71bb5227c75d463dd82a03115738-Abstract.html,https://dblp.org/rec/conf/nips/HuangWP018
3895,2018,Qiuyuan Huang,Microsoft Research AI,Lei Zhang 0001,Microsoft Research,NeurIPS,Turbo Learning for CaptionBot and DrawingBot.,4,https://proceedings.neurips.cc/paper/2018/hash/976abf49974d4686f87192efa0513ae0-Abstract.html,https://dblp.org/rec/conf/nips/HuangZWZ18
3896,2018,Jonathan H. Huggins,Massachusetts Institute of Technology,Lester Mackey,Microsoft Research,NeurIPS,Random Feature Stein Discrepancies.,2,https://proceedings.neurips.cc/paper/2018/hash/0f840be9b8db4d3fbd5ba2ce59211f55-Abstract.html,https://dblp.org/rec/conf/nips/HugginsM18
3897,2018,Edward Hughes 0001,DeepMind,Thore Graepel,DeepMind,NeurIPS,Inequity aversion improves cooperation in intertemporal social dilemmas.,12,https://proceedings.neurips.cc/paper/2018/hash/7fea637fd6d02b8f0adf6f7dc36aed93-Abstract.html,https://dblp.org/rec/conf/nips/HughesLPTDCDZMK18
3898,2018,Dongsung Huh,,Terrence J. Sejnowski,,NeurIPS,Gradient Descent for Spiking Neural Networks.,2,https://proceedings.neurips.cc/paper/2018/hash/185e65bc40581880c4f2c82958de8cfe-Abstract.html,https://dblp.org/rec/conf/nips/HuhS18
3899,2018,Zhouyuan Huo,University of Pittsburgh,Heng Huang,University of Pittsburgh,NeurIPS,Training Neural Networks Using Features Replay.,3,https://proceedings.neurips.cc/paper/2018/hash/a36b598abb934e4528412e5a2127b931-Abstract.html,https://dblp.org/rec/conf/nips/HuoGH18
3900,2018,Borja Ibarz,DeepMind,Dario Amodei,OpenAI,NeurIPS,Reward learning from human preferences and demonstrations in Atari.,6,https://proceedings.neurips.cc/paper/2018/hash/8cbe9ce23f42628c98f80fa0fac8b19a-Abstract.html,https://dblp.org/rec/conf/nips/IbarzLPILA18
3901,2018,Mahdi Imani,Texas A&M University,Ulisses M. Braga-Neto,Texas A&M University,NeurIPS,Bayesian Control of Large MDPs with Unknown Dynamics in Data-Poor Environments.,3,https://proceedings.neurips.cc/paper/2018/hash/2cbd9c540641923027adb8ab89decc05-Abstract.html,https://dblp.org/rec/conf/nips/ImaniGB18
3902,2018,Ehsan Imani,,Martha White,,NeurIPS,An Off-policy Policy Gradient Theorem Using Emphatic Weightings.,3,https://proceedings.neurips.cc/paper/2018/hash/3ef815416f775098fe977004015c6193-Abstract.html,https://dblp.org/rec/conf/nips/ImaniGW18
3903,2018,Eldar Insafutdinov,Max Planck Institute for Informatics,Alexey Dosovitskiy,Intel Labs,NeurIPS,Unsupervised Learning of Shape and Pose with Differentiable Point Clouds.,2,https://proceedings.neurips.cc/paper/2018/hash/4e8412ad48562e3c9934f45c3e144d48-Abstract.html,https://dblp.org/rec/conf/nips/InsafutdinovD18
